Incident Type,Incident Number,Incident Date,Violation Type,Violation Section,Violation Description,Location
ARREST,2000000101,"Jan 1, 2020 12:35:00 AM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",420 N COAST HIGHWAY
ARREST,2000000201,"Jan 1, 2020 1:45:00 AM",PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),293 DOUGLAS DRIVE##265
ARREST,2000000401,"Jan 1, 2020 3:07:00 AM",VC,23152A,DUI ALCOHOL (M),"OCEANSIDE BOULEVARD & RANCHO DEL ORO DRIVE, OCEANSIDE, CA 92056"
ARREST,2000000701,"Jan 1, 2020 4:55:00 AM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",1300 CARMELO DRIVE
ARREST,2000000901,"Jan 1, 2020 8:00:00 AM",PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",487 HARBOR DRIVE
ARREST,1901821801,"Jan 1, 2020 11:17:00 AM",PC,236,FALSE IMPRISON W/VIOL/MENACE/FRAUD/DECEIT (F),1970 COLLEGE BOULEVARD
ARREST,2000001701,"Jan 1, 2020 11:20:00 AM",HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),101 OLD GROVE ROAD
ARREST,2000002101,"Jan 1, 2020 2:00:00 PM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),0 N ALLEY 1500 HIGGNS STREET
ARREST,2000002501,"Jan 1, 2020 6:55:00 PM",ZZ,OUT WARRANT,FELONY OTHER AGENCY'S WARRANT,3911 PLAZA DRIVE
ARREST,2000002601,"Jan 1, 2020 9:28:00 PM",PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),3708 PLAZA DRIVE
ARREST,2000002701,"Jan 1, 2020 9:55:00 PM",HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),888 N COAST HIGHWAY
ARREST,2000002801,"Jan 1, 2020 10:30:00 PM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),900 N COAST HIGHWAY
ARREST,2000002802,"Jan 1, 2020 10:30:00 PM",HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),"EL CAMINO REAL & Haymar DRIVE, OCEANSIDE, CA 92054"
ARREST,2000003201,"Jan 2, 2020 12:45:00 AM",PC,3056,VIOL PAROLE:FELONY (F),1201 S COAST HIGHWAY
ARREST,2000003302,"Jan 2, 2020 2:30:00 AM",VC,10851(A),OTHER AGENCY VEHICLE THEFT/RECOVERY (F),1700 S OCEANSIDE BOULEVARD
ARREST,2000003301,"Jan 2, 2020 3:10:00 AM",VC,10851(A),OTHER AGENCY VEHICLE THEFT/RECOVERY (F),400 COUNTRY CLUB LANE
ARREST,2000003601,"Jan 2, 2020 9:00:00 AM",ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,290 SEAGAZE DRIVE
